"stateabb","ccode","year","month","protestcount","milprotests","antiusprotests"
"CAN",20,1997,7,0,0,0
"CAN",20,1997,8,0,0,0
"CAN",20,1997,9,0,0,0
"CAN",20,1997,10,0,0,0
"CAN",20,1997,11,0,0,0
"CAN",20,1997,12,0,0,0
"CAN",20,1998,1,0,0,0
"CAN",20,1998,2,0,0,0
"CAN",20,1998,3,0,0,0
"CAN",20,1998,4,0,0,0
"CAN",20,1998,5,0,0,0
"CAN",20,1998,6,0,0,0
"CAN",20,1998,7,0,0,0
"CAN",20,1998,8,0,0,0
"CAN",20,1998,9,0,0,0
"CAN",20,1998,10,0,0,0
"CAN",20,1998,11,0,0,0
"CAN",20,1998,12,0,0,0
"CAN",20,1999,1,1,0,1
"CAN",20,1999,2,0,0,0
"CAN",20,1999,3,0,0,0
"CAN",20,1999,4,0,0,0
"CAN",20,1999,5,0,0,0
"CAN",20,1999,6,0,0,0
"CAN",20,1999,7,0,0,0
"CAN",20,1999,8,0,0,0
"CAN",20,1999,9,0,0,0
"CAN",20,1999,10,0,0,0
"CAN",20,1999,11,0,0,0
"CAN",20,1999,12,0,0,0
"CAN",20,2000,1,0,0,0
"CAN",20,2000,2,0,0,0
"CAN",20,2000,3,0,0,0
"CAN",20,2000,4,0,0,0
"CAN",20,2000,5,0,0,0
"CAN",20,2000,6,0,0,0
"CAN",20,2000,7,0,0,0
"CAN",20,2000,8,0,0,0
"CAN",20,2000,9,0,0,0
"CAN",20,2000,10,0,0,0
"CAN",20,2000,11,0,0,0
"CAN",20,2000,12,0,0,0
"CAN",20,2001,1,0,0,0
"CAN",20,2001,2,0,0,0
"CAN",20,2001,3,0,0,0
"CAN",20,2001,4,0,0,0
"CAN",20,2001,5,0,0,0
"CAN",20,2001,6,0,0,0
"CAN",20,2001,7,0,0,0
"CAN",20,2001,8,0,0,0
"CAN",20,2001,9,0,0,0
"CAN",20,2001,10,0,0,0
"CAN",20,2001,11,0,0,0
"CAN",20,2001,12,0,0,0
"CAN",20,2002,1,0,0,0
"CAN",20,2002,2,0,0,0
"CAN",20,2002,3,0,0,0
"CAN",20,2002,4,0,0,0
"CAN",20,2002,5,0,0,0
"CAN",20,2002,6,0,0,0
"CAN",20,2002,7,0,0,0
"CAN",20,2002,8,0,0,0
"CAN",20,2002,9,0,0,0
